Source,Area_or_Site,lat,lon,Exp_Start,Exp_End,Elevation_m,Genus,species,Family,Subtribe,Habit_EC,JZ1,JZ2,JZ3,JZ4,JZ5,Abundance,HeightMin_m,HeightMax_m,HeightType,ObservationType,ValueType,DataQuality,note,AcceptedName
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Acianthera,ciliata,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Acianthera,sp1,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Anguloa,uniflora,Orchidaceae,,,27,8,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Batemannia,colleyi,Orchidaceae,,,19,1,13,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Camaridium,vestitum,Orchidaceae,,,0,30,15,7,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Catasetum,saccatum,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Chaubardia,klugii,Orchidaceae,,,0,2,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Coryanthes,sp1,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Cyrtopodium,sp1,Orchidaceae,,,0,0,12,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Dichaea,laxa,Orchidaceae,,,0,0,0,6,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Dichaea,pendula,Orchidaceae,,,2,0,6,6,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,compressum,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,coronatum,Orchidaceae,,,1,2,1,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,fimbriatum,Orchidaceae,,,4,0,4,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,flexuosum,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,isomerum,Orchidaceae,,,0,0,1,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,longicolle,Orchidaceae,,,0,0,6,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,paniculatum,Orchidaceae,,,0,0,2,6,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,piliferum,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,sp1,Orchidaceae,,,2,3,20,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,sp2,Orchidaceae,,,3,1,4,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,sp3,Orchidaceae,,,1,0,2,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,sp4,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,splendens,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,schizoclinandrium,Orchidaceae,,,2,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Epidendrum,tessmannii,Orchidaceae,,,3,0,1,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Erycina,pusilla,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Gongora,atropurpurea,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Macradenia,lutescens,Orchidaceae,,,0,0,1,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Masdevallia,weberbaueri,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Maxillaria,ochroleuca,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Maxillaria,graminifolia,Orchidaceae,,,0,1,0,3,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Maxillaria,reichenheimiana,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Miltoniopsis,roezlii,Orchidaceae,,,11,0,41,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Myoxanthus,affinis,Orchidaceae,,,0,3,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Myoxanthus,exasperatus,Orchidaceae,,,0,3,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Ornithidium,mapiriensis,Orchidaceae,,,0,0,2,7,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Ornithidium,pendulum,Orchidaceae,,,0,0,0,4,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Phragmipedium,warscewiczii,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Platystele,sp1,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Pleurothallis,ruscifolia,Orchidaceae,,,0,0,0,3,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Prosthechea,fragrans,Orchidaceae,,,1,0,0,6,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Sobralia,candida,Orchidaceae,,,14,8,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Sobralia,fimbriata,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Sobralia,sp1,Orchidaceae,,,0,0,0,7,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Stanhopea,candida,Orchidaceae,,,0,0,0,6,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Stelis,capillaris,Orchidaceae,,,0,0,4,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Stelis,parviflora,Orchidaceae,,,0,46,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Stelis,sp1,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Stenia,pallida,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Sudamerlycaste,ciliata,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Vanilla,odorata,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Vanilla,palmarum,Orchidaceae,,,0,1,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Vanilla,pompona,Orchidaceae,,,0,1,0,0,0,,,,NA,Abundance,,,,
Quinteros-Gómez et al. 2024,"Tingana, Alto Mayo Valley","05° 54' 17.9"" S","77° 07' 07.5"" W",2022,2024,850-890,Xylobium,variegatum,Orchidaceae,,,0,0,0,0,0,,,,NA,Abundance,,,,
Quaresma et al. 2014,"Algodoal-Maiandeua APA, Maracanã, Brazil","0° 35' 56.6"" S","47° 34' 24.4"" W",2011,2012,,Epidendrum,nocturnum,Orchidaceae,,,0,9,0,6,0,,,,,Abundance,,,,
Quaresma et al. 2014,"Algodoal-Maiandeua APA, Maracanã, Brazil","0° 35' 56.6"" S","47° 34' 24.4"" W",2011,2012,,Cohniella,cebolleta,Orchidaceae,,,0,7,0,0,0,,,,,Abundance,,,,
Quaresma et al. 2014,"Algodoal-Maiandeua APA, Maracanã, Brazil","0° 35' 56.6"" S","47° 34' 24.4"" W",2011,2012,,Catasetum,discolor,Orchidaceae,,,0,2,0,0,0,,,,,Abundance,,,,
Quaresma et al. 2014,"Algodoal-Maiandeua APA, Maracanã, Brazil","0° 35' 56.6"" S","47° 34' 24.4"" W",2011,2012,,Epidendrum,strobiliferum,Orchidaceae,,,0,0,0,1,0,,,,,Abundance,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,